24,25,1,2018-02-17
24,17,1,2018-02-17
24,13,1,2018-02-17
0,37,1,2018-02-17
6,24,1,2018-02-17
0,24,1,2018-02-17
6,17,1,2018-02-17
6,13,1,2018-02-17
6,12,1,2018-02-17
0,6,1,2018-02-17
0,6,1,2018-02-17
31,42,1,2018-02-24
26,42,1,2018-02-24
31,26,1,2018-02-24
42,12,0.5,2018-02-24
22,31,1,2018-02-24
31,22,0.5,2018-02-24
22,31,1,2018-02-24
12,26,0.5,2018-02-24
18,12,1,2018-02-24
20,91,0.5,2018-02-25
54,45,1,2018-02-25
54,20,1,2018-02-25
20,54,0.5,2018-02-25
20,54,1,2018-02-25
20,45,0.5,2018-02-25
84,92,1,2018-03-11
84,31,1,2018-03-11
30,76,1,2018-03-11
13,84,1,2018-03-11
30,22,1,2018-03-11
6,42,0.5,2018-03-11
30,17,1,2018-03-11
8,38,0.5,2018-03-11
3,42,1,2018-03-11
5,38,1,2018-03-11
11,30,1,2018-03-11
9,31,1,2018-03-11
24,14,1,2018-03-11
16,17,1,2018-03-11
6,24,0.5,2018-03-11
0,30,1,2018-03-11
22,6,1,2018-03-11
3,22,1,2018-03-11
11,13,1,2018-03-11
8,16,0.5,2018-03-11
16,6,0.5,2018-03-11
8,12,0.5,2018-03-11
7,13,1,2018-03-11
11,8,1,2018-03-11
7,11,1,2018-03-11
8,9,0.5,2018-03-11
7,9,1,2018-03-11
5,11,1,2018-03-11
0,16,1,2018-03-11
7,8,1,2018-03-11
8,5,1,2018-03-11
3,7,1,2018-03-11
3,5,1,2018-03-11
0,7,1,2018-03-11
0,3,0.5,2018-03-11
0,3,1,2018-03-11
35,85,1,2018-03-18
22,85,0.5,2018-03-18
27,53,1,2018-03-18
35,36,0.5,2018-03-18
36,35,1,2018-03-18
12,53,1,2018-03-18
36,27,1,2018-03-18
53,2,1,2018-03-18
12,36,1,2018-03-18
12,35,1,2018-03-18
36,11,0.5,2018-03-18
35,11,1,2018-03-18
17,27,1,2018-03-18
11,32,1,2018-03-18
36,4,1,2018-03-18
21,17,0.5,2018-03-18
27,10,0.5,2018-03-18
19,17,1,2018-03-18
